Zone,Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,PIB par habitant,Stabilité politique,Population,distance(km),ratio_pro_volailles
Maroc,20.96,7.29,746.0,1.0,3.0,7312.1,-0.37,35581.255,1816.853,6.3953891665816585
Maurice,37.93,13.06,49.0,0.0,2.0,21415.1,0.97,1264.499,9422.744,12.408551068883611
Mauritanie,5.14,1.59,22.0,7.859999999999999,24.0,5077.2,-0.63,4282.57,3794.96,1.7330243046855422
Mexique,32.52,9.26,4219.0,9.0,972.0,19721.3,-0.72,124777.324,9206.813,8.733976420150054
Mongolie,2.77,0.95,9.0,-0.7699999999999996,10.0,11311.8,0.79,3113.786,7053.423,0.9690346083788707
Monténégro,15.98,5.79,10.0,0.0,8.0,19682.3,-0.06,627.563,1449.718,4.248320367751061
Mozambique,3.59,1.2,116.0,-4.590000000000003,24.0,1283.7,-0.93,28649.018,8855.655,2.0164126611957798
Myanmar,30.37,9.93,1666.0,0.0,3.0,4739.9,-1.08,53382.523,8892.726,9.041778253883235
Namibie,11.53,4.25,28.0,12.0,29.0,10171.4,0.63,2402.633,8084.97,5.963709677419355
Nicaragua,21.59,6.91,138.0,0.0,6.0,6004.0,-0.05,6384.846,8906.699,9.003939393939394
Niger,0.94,0.32,21.0,0.0,3.0,1163.7,-1.27,21602.382,3932.638,0.3400928414365991
Nigéria,1.01,0.31,202.0,0.0,0.0,5190.4,-2.0,190873.244,4440.135,0.4991055456171736
Norvège,19.05,7.81,102.0,0.0,2.0,64050.8,1.17,5296.326,1342.89,6.107110383706128
Nouvelle-Zélande,34.79,12.02,168.0,23.0,1.0,42285.3,1.59,4702.034,19263.88,11.78171806167401
Népal,1.99,0.67,58.0,-1.990000000000002,0.0,3565.2,-0.69,27632.681,7244.016,0.8195161728730633
Oman,21.63,7.38,114.0,16.0,126.0,29077.4,0.75,4665.928,5620.005,7.2897460018814675
Ouganda,1.52,0.51,66.0,0.0,0.0,2074.7,-0.57,41166.588,6128.938,0.8870412844036697
Pakistan,5.86,1.97,1282.0,4.0,2.0,4571.2,-2.41,207906.209,5932.586,2.646490566037736
Panama,33.82,10.34,192.0,0.0,20.0,30446.8,0.39,4106.769,8671.104,11.326869806094182
Paraguay,5.99,1.8,41.0,4.0,1.0,12590.5,0.0,6867.061,10168.73,2.104384133611691
Pays-Bas,20.33,8.48,372.0,1418.0,608.0,55088.6,0.92,17021.347,427.9169,6.415014842478215
Philippines,13.87,4.65,1521.0,2.0,249.0,8120.9,-1.18,105172.925,10751.64,6.530481966166614
Pologne,30.3,12.14,1156.0,1025.0,55.0,30064.5,0.52,37953.18,1368.178,9.54513686662784
Portugal,30.58,12.74,325.0,44.0,82.0,33044.7,1.12,10288.527,1452.86,9.13102001573289
Pérou,13.47,6.71,1523.0,1.0,60.0,12506.5,-0.26,31444.298,10268.11,7.790380199030365
Roumanie,19.37,7.91,381.0,69.0,146.0,27141.9,0.06,19653.969,1875.018,6.083474019883699
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,31.94,13.77,2234.0,359.0,779.0,45744.7,0.33,66727.461,342.9475,11.268412438625205
Rwanda,1.49,0.5,19.0,0.0,0.0,1975.2,0.09,11980.961,6253.41,0.7516891891891891
République centrafricaine,2.29,0.78,11.0,-2.289999999999999,4.0,912.8,-2.01,4596.023,5186.042,1.4961206896551724
République de Corée,16.7,5.68,854.0,6.0,137.0,40957.4,0.32,51096.415,8981.467,5.096009074971641
République de Moldova,16.14,5.53,66.0,0.0,16.0,11651.3,-0.32,4059.684,1976.854,6.986734049273532
République dominicaine,35.26,10.88,375.0,6.0,42.0,16735.4,0.16,10513.104,7178.52,14.482799880346995
République-Unie de Tanzanie,1.88,0.63,108.0,-2.8799999999999955,2.0,2530.6,-0.56,54660.339,6932.8,0.9594979079497908
Saint-Kitts-et-Nevis,55.77,19.22,4.0,0.0,4.0,25360.1,0.65,52.045,6760.687,19.755139214155605
Saint-Vincent-et-les Grenadines,72.31,25.1,8.0,-70.31,9.0,12245.1,0.89,109.827,6989.701,23.36323875742963
Sainte-Lucie,56.69,19.0,11.0,-56.69,10.0,14945.7,0.99,180.954,6903.772,18.942731277533042
Samoa,64.77,21.88,15.0,0.0,17.0,6480.8,1.18,195.352,16011.92,20.935355892648772
Sao Tomé-et-Principe,9.47,3.21,2.0,-7.470000000000001,2.0,3952.9,0.19,207.089,5432.882,4.876730769230769
Sierra Leone,3.97,1.24,30.0,0.0,14.0,1642.6,-0.04,7488.423,4724.351,1.8045274883219546
Slovaquie,13.9,4.74,74.0,35.0,63.0,30077.8,0.91,5447.9,1094.61,6.091566265060242
Slovénie,24.41,8.72,52.0,29.0,20.0,36505.7,0.87,2076.394,965.7366,7.274799063994304
Soudan,1.6,0.54,69.0,-1.5999999999999943,2.0,4327.8,-1.98,40813.397,4612.387,0.7318797878609311
Sri Lanka,7.78,2.64,192.0,2.0,0.0,12584.1,-0.07,21128.032,8526.015,3.6147502722887817
Suisse,15.72,6.49,133.0,4.0,51.0,69103.6,1.26,8455.804,436.0778,5.642887073119632
Suriname,31.06,9.27,25.0,5.0,18.0,18283.7,0.13,570.496,7196.987,12.637406483790523
Suède,16.6,7.09,187.0,23.0,84.0,51948.0,0.98,9904.896,1545.797,5.763150518546202
Sénégal,4.76,1.61,77.0,0.0,0.0,3203.9,-0.05,15419.355,4217.159,2.449479080535803
Tadjikistan,4.45,1.45,40.0,-4.450000000000003,38.0,3252.9,-0.67,8880.268,5291.823,1.7280606717226437
Tchad,0.45,0.15,7.0,0.0,1.0,1587.0,-1.29,15016.753,4248.435,0.16380655226209045
Tchéquie,21.96,7.5,249.0,27.0,116.0,38824.9,1.0,10641.034,884.6105,6.938020351526364
Thaïlande,12.95,4.35,881.0,796.0,2.0,17423.0,-0.75,69209.81,9454.805,6.138825073843124
Timor-Leste,4.24,1.46,5.0,9.76,11.0,3145.5,0.07,1243.258,13128.84,1.898075923036921
Togo,7.06,2.39,54.0,0.0,16.0,2012.2,-0.88,7698.474,4753.381,3.5447565869830746
Trinité-et-Tobago,54.54,16.63,76.0,0.0,23.0,26342.6,0.28,1384.059,7225.325,17.286085518544766
Tunisie,17.03,6.28,195.0,4.0,0.0,10605.3,-1.02,11433.443,1483.828,5.266646458522785
Turkménistan,4.52,1.53,27.0,-0.5199999999999996,9.0,14205.0,-0.13,5757.667,4581.08,1.318397242567859
Turquie,20.64,6.99,1674.0,429.0,3.0,27913.8,-1.79,81116.45,2600.656,5.663833992094862
Ukraine,22.62,7.58,1009.0,273.0,121.0,11871.1,-1.87,44487.709,2025.144,6.862913522925131
Uruguay,9.12,2.97,33.0,3.0,3.0,23009.9,1.05,3436.641,10972.42,2.925587467362924
Vanuatu,11.66,4.05,3.0,-8.66,4.0,3081.8,0.7,285.51,16346.35,5.148305084745763
Viet Nam,12.33,4.01,1206.0,1.0,291.0,7155.4,0.29,94600.648,9208.554,3.5632566922137063
Zambie,3.42,1.15,60.0,1.0,12.0,3485.0,0.15,16853.599,7604.841,1.7135116830342023
Zimbabwe,4.68,1.59,76.0,-5.680000000000007,6.0,3274.6,-0.71,14236.595,7949.676,2.7017578125000004
Égypte,12.96,4.51,1250.0,1.0,110.0,11014.5,-1.42,96442.591,3215.215,4.028877116443336
Émirats arabes unis,43.47,14.8,412.0,94.0,433.0,67183.6,0.62,9487.203,5249.535,10.900615327242214
Équateur,19.31,6.15,341.0,0.0,0.0,11617.9,-0.07,16785.361,9367.098,8.32218336627642
États-Unis d'Amérique,55.68,19.93,18266.0,3692.0,123.0,60109.7,0.34,325084.756,6169.154,15.261948772115131
Éthiopie,0.13,0.04,14.0,0.8699999999999992,1.0,2021.6,-1.68,106399.924,5582.502,0.0542352224253504
Îles Salomon,4.45,1.51,3.0,0.0,6.0,2663.9,0.2,636.039,15178.2,2.1957494407158835
